-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2018 through 10/22/2025 in LST
Location: Latitude  31.5587   Longitude 74.3507 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 209.49 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN      CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
QV2M                   MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                   MERRA-2 Relative Humidity at 2 Meters (%) 
PS                     MERRA-2 Surface Pressure (kPa) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                  MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,SZA,T2M,QV2M,RH2M,PS,WS10M,WD10M
2018,1,1,0,0.0,0.0,0.0,0.0,90.0,12.12,2.38,26.73,98.94,1.23,324.9
2018,1,1,1,0.0,0.0,0.0,0.0,90.0,11.25,2.42,28.79,98.92,1.4,319.0
2018,1,1,2,0.0,0.0,0.0,0.0,90.0,10.32,2.43,30.74,98.9,1.67,317.9
2018,1,1,3,0.0,0.0,0.0,0.0,90.0,9.25,2.5,33.97,98.86,1.87,322.2
2018,1,1,4,0.0,0.0,0.0,0.0,90.0,8.51,2.55,36.42,98.84,1.9,329.7
2018,1,1,5,0.0,0.0,0.0,0.0,90.0,8.26,2.59,37.63,98.84,1.74,340.8
2018,1,1,6,0.0,0.0,0.0,0.0,90.0,8.32,2.61,37.77,98.88,1.41,353.9
2018,1,1,7,42.2,40.12,96.25,34.87,85.46,8.72,2.71,38.19,98.93,0.95,12.7
2018,1,1,8,212.65,199.7,440.27,88.65,75.08,10.55,2.92,36.4,98.98,0.45,70.3
2018,1,1,9,382.88,358.85,598.64,120.46,66.09,12.6,2.76,30.06,99.04,0.77,153.1
2018,1,1,10,512.12,485.33,683.1,137.18,59.23,16.05,2.82,24.57,99.06,0.94,193.6
2018,1,1,11,504.4,469.8,341.36,272.95,55.31,20.03,2.66,18.04,99.02,1.18,264.1
2018,1,1,12,504.62,485.77,367.1,249.62,54.97,21.48,2.66,16.49,98.95,1.46,276.3
2018,1,1,13,448.75,432.02,393.97,203.51,58.27,21.92,2.68,16.16,98.88,1.38,282.5
2018,1,1,14,346.1,341.42,353.51,185.77,64.65,21.72,2.72,16.59,98.85,1.17,292.2
2018,1,1,15,193.68,191.2,226.91,118.94,73.3,20.69,3.98,25.84,98.82,0.6,301.3
2018,1,1,16,51.12,50.65,40.04,44.17,83.47,19.43,3.36,23.59,98.82,0.18,282.5
2018,1,1,17,0.0,0.0,0.0,0.0,90.0,18.21,3.06,23.2,98.85,0.35,193.2
2018,1,1,18,0.0,0.0,0.0,0.0,90.0,17.34,2.86,22.92,98.89,0.68,197.9
2018,1,1,19,0.0,0.0,0.0,0.0,90.0,16.42,2.8,23.8,98.93,0.9,206.3
2018,1,1,20,0.0,0.0,0.0,0.0,90.0,15.57,2.73,24.5,98.95,0.96,216.5
2018,1,1,21,0.0,0.0,0.0,0.0,90.0,14.79,2.74,25.86,98.96,0.81,226.5
